Month,U.S. Crude Oil ,Alabama,Alaska,Arkansas,Arizona,California,Colorado,Federal Offshore Gulf of Mexico Crude Oil,Federal Offshore Pacific Crude Oil,Florida,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Michigan,Mississippi,Missouri,Nebraska,Montana,Nevada,New Mexico,New York,North Dakota,Ohio,Oklahoma,Pennsylvania,South Dakota,Wyoming,West Virginia,Virginia,Utah,Texas,Tennessee
2012-07-01,6421,25,415,17,0,541,130,1252,53,6,0,27,6,118,7,197,20,68,1,8,73,1,237,1,674,14,272,13,5,157,6,0,83,1995,1
2012-08-01,6329,27,404,17,0,541,132,1098,50,6,0,27,6,120,7,178,20,66,1,7,74,1,236,1,701,14,270,13,5,160,7,0,86,2051,1
2012-09-01,6563,28,502,18,0,537,139,1178,54,6,0,26,7,118,8,172,20,67,1,8,75,1,245,1,726,14,254,13,5,160,6,0,88,2087,1
2012-10-01,6946,27,547,18,0,543,154,1327,52,6,0,27,8,124,7,205,20,69,1,9,79,1,251,1,747,14,285,13,5,160,7,0,89,2150,1
2012-11-01,7037,28,553,19,0,539,160,1373,55,6,0,27,8,122,6,204,20,69,1,8,78,1,253,1,733,14,265,13,5,162,9,0,90,2214,1
2012-12-01,7088,28,556,18,0,534,161,1378,45,6,0,25,7,117,9,203,21,68,1,8,78,1,254,1,765,14,287,13,5,162,9,0,86,2228,1
2013-01-01,7025,29,549,18,0,534,157,1332,50,6,0,26,7,128,6,198,22,68,1,6,77,1,254,1,736,16,260,13,5,160,11,0,83,2271,1
2013-02-01,7144,29,541,19,0,536,162,1315,52,6,0,26,7,116,7,202,22,68,1,7,78,1,258,1,778,16,279,13,5,166,13,0,88,2332,1
2013-03-01,7208,29,533,18,0,545,164,1255,50,6,0,26,7,132,6,198,21,68,0,7,80,1,259,1,783,16,320,13,5,174,15,0,90,2384,1
2013-04-01,7355,28,523,18,0,548,168,1336,52,4,0,26,7,133,6,197,21,69,1,7,82,1,278,1,790,18,323,13,5,172,15,0,91,2422,1
2013-05-01,7316,28,515,18,0,548,166,1201,48,5,0,26,6,131,6,199,21,68,1,7,81,1,281,1,807,18,330,13,5,174,19,0,94,2496,1
2013-06-01,7268,28,486,18,0,545,169,1122,50,6,0,25,7,128,7,201,21,66,1,7,80,1,285,1,820,18,336,13,5,175,23,0,94,2533,1
2013-07-01,7483,28,493,18,0,545,179,1238,55,6,0,27,6,126,6,198,21,67,0,7,82,1,287,1,869,26,298,16,5,169,25,0,98,2584,1
2013-08-01,7531,29,428,18,0,548,188,1185,50,6,0,27,7,129,6,199,21,67,1,8,83,1,291,1,908,26,361,16,5,179,25,0,101,2617,1
2013-09-01,7784,28,511,18,0,547,189,1319,51,7,0,26,6,128,6,197,22,65,1,8,80,1,299,1,930,26,315,16,5,181,22,0,104,2670,1
2013-10-01,7699,29,521,18,0,546,209,1177,49,7,0,26,7,134,6,191,21,65,1,9,80,1,301,1,941,28,315,16,5,179,21,0,105,2691,1
2013-11-01,7873,29,536,18,0,552,215,1303,51,7,0,26,7,128,6,194,0,65,1,10,81,1,286,1,974,28,326,16,5,185,24,0,105,2695,1
2013-12-01,7899,28,546,19,0,546,209,1285,52,6,0,26,6,126,6,192,21,65,1,10,77,1,299,1,927,28,323,16,5,174,24,0,99,2780,1
2014-01-01,8051,26,542,18,0,553,211,1304,52,6,0,23,5,138,6,185,22,62,0,10,78,1,307,1,935,33,359,18,5,182,22,0,103,2843,1
2014-02-01,8136,28,515,18,0,552,215,1331,51,6,0,23,6,127,7,189,23,64,1,10,80,1,319,1,947,33,353,18,5,184,24,0,106,2899,1
2014-03-01,8274,27,530,19,0,552,232,1322,42,6,0,25,6,132,6,193,20,64,1,8,79,1,323,1,971,33,372,18,5,192,24,0,108,2961,1
2014-04-01,8573,26,537,18,0,559,238,1425,48,6,0,27,6,136,7,190,23,64,1,8,81,1,332,1,999,38,398,18,5,196,22,0,113,3050,1
2014-05-01,8612,27,524,18,0,562,253,1413,52,6,0,26,7,137,7,194,21,64,1,8,79,1,334,1,1034,38,374,18,5,201,24,0,113,3071,1
2014-06-01,8718,27,485,19,0,558,263,1412,52,7,0,26,7,131,7,194,21,64,1,8,81,1,332,1,1086,38,381,18,5,209,24,0,115,3145,1
2014-07-01,8782,26,422,19,0,559,271,1428,53,6,0,27,7,137,7,187,19,66,1,8,83,1,346,1,1108,44,368,19,5,208,26,0,113,3216,1
2014-08-01,8886,25,398,19,0,567,281,1435,54,6,0,27,7,136,7,189,20,66,0,8,83,1,348,1,1127,44,385,19,5,215,29,0,114,3269,1
2014-09-01,9041,27,477,19,0,568,278,1422,51,6,0,27,8,140,8,191,20,68,1,7,84,1,339,1,1178,44,400,19,5,222,34,0,116,3278,1
2014-10-01,9221,27,500,19,0,568,291,1428,50,6,0,28,8,143,8,191,19,72,1,8,84,1,371,1,1176,50,416,19,5,232,34,0,116,3348,1
2014-11-01,9303,28,513,19,0,569,295,1389,51,6,0,26,7,136,7,186,21,72,0,9,85,1,376,1,1181,50,435,19,5,225,38,0,115,3437,1
2014-12-01,9467,29,515,19,0,562,311,1452,52,6,0,28,8,136,9,191,19,73,0,8,86,1,381,1,1221,50,364,19,5,235,39,0,114,3532,1
2015-01-01,9385,27,500,18,0,564,318,1452,53,6,0,26,7,134,9,188,20,71,0,8,83,1,367,1,1184,63,454,18,5,235,29,0,111,3430,1
2015-02-01,9511,29,488,18,0,562,327,1456,54,6,0,24,6,134,9,188,21,72,0,9,86,1,390,1,1171,63,448,20,5,239,32,0,110,3541,1
2015-03-01,9578,28,506,18,0,561,333,1380,45,6,0,24,6,136,4,180,17,73,0,9,85,1,416,1,1182,63,486,20,5,246,32,0,110,3604,1
2015-04-01,9650,26,510,17,0,560,338,1504,43,4,0,28,6,127,4,177,20,73,0,8,82,1,425,1,1164,75,480,20,5,251,35,0,108,3554,1
2015-05-01,9464,27,473,17,0,559,342,1404,46,7,0,26,6,122,13,176,18,73,0,8,81,1,426,1,1196,75,463,20,5,241,35,0,107,3494,1
2015-06-01,9344,27,447,17,0,549,337,1413,24,7,0,26,6,136,6,173,19,70,0,8,79,1,415,1,1204,75,466,19,4,236,36,0,103,3440,1
2015-07-01,9430,26,450,17,0,544,344,1567,19,6,0,26,6,125,9,170,17,68,0,7,77,1,405,1,1201,75,444,20,4,235,34,0,101,3429,1
2015-08-01,9400,26,408,17,0,547,347,1630,19,6,0,26,6,121,7,169,18,66,0,9,75,1,415,1,1181,75,446,18,4,234,32,0,100,3396,1
2015-09-01,9460,26,472,17,0,546,331,1661,19,6,0,27,6,120,8,172,18,66,0,8,75,1,416,1,1155,75,456,19,4,233,30,0,96,3394,1
2015-10-01,9388,26,497,17,0,543,345,1578,19,6,0,27,6,117,10,170,17,65,0,7,73,1,408,1,1166,79,454,19,4,233,29,0,94,3378,1
2015-11-01,9318,25,523,16,0,545,342,1524,19,6,0,25,5,106,2,166,18,63,0,7,72,1,414,1,1174,79,442,19,4,231,26,0,91,3369,1
2015-12-01,9251,25,522,16,0,539,332,1605,18,6,0,27,6,116,12,163,16,61,0,6,71,1,359,1,1145,79,445,20,4,228,30,0,91,3306,1
2016-01-01,9197,24,516,16,0,538,332,1593,18,6,0,22,5,109,7,157,17,60,0,6,69,1,379,1,1114,70,460,18,4,217,22,0,88,3326,1
2016-02-01,9055,23,507,16,0,530,327,1549,17,6,0,24,5,110,4,162,17,59,0,6,68,1,398,1,1112,70,415,18,4,211,22,0,84,3288,1
2016-03-01,9081,22,511,15,0,527,319,1612,17,6,1,25,5,112,8,162,15,57,0,6,67,1,406,1,1104,70,432,18,4,210,20,0,82,3243,1
2016-04-01,8866,22,489,16,0,517,316,1574,17,5,1,24,5,102,6,162,16,57,0,7,65,1,405,1,1035,63,421,20,4,206,20,0,83,3206,1
2016-05-01,8824,22,505,15,0,507,311,1593,18,5,1,23,5,106,3,159,15,57,0,6,64,1,393,1,1040,63,433,19,4,197,21,0,82,3153,1
2016-06-01,8670,22,470,15,0,484,309,1551,17,5,1,25,5,108,11,156,16,56,0,6,64,1,389,1,1020,63,433,16,4,193,21,0,80,3130,1
2016-07-01,8635,22,438,15,0,506,320,1568,16,5,1,22,5,101,9,156,15,55,0,6,62,1,392,1,1023,53,401,16,4,194,22,0,80,3125,1
2016-08-01,8670,22,459,15,0,507,323,1617,17,5,0,24,5,101,5,149,15,54,0,6,61,1,392,1,976,53,425,17,4,188,22,0,83,3122,1
2016-09-01,8519,22,452,15,0,505,322,1508,16,5,1,24,5,101,6,154,16,53,0,6,61,1,401,1,966,53,411,16,4,187,20,0,83,3106,1
2016-10-01,8787,22,495,15,0,501,320,1605,16,5,0,23,5,100,4,155,15,53,0,7,61,1,408,1,1037,49,428,16,4,193,20,0,85,3143,1
2016-11-01,8888,22,513,15,0,499,319,1682,16,5,1,23,5,99,10,147,16,53,0,6,61,1,416,1,1027,49,430,17,4,195,21,0,85,3150,1
2016-12-01,8778,21,519,15,0,480,302,1725,16,5,1,23,5,95,12,145,15,53,0,6,57,1,421,1,935,49,413,16,3,189,20,0,86,3148,1
2017-01-01,8840,20,516,14,0,484,298,1739,16,5,0,22,5,97,5,145,14,51,0,6,57,1,419,1,976,51,399,16,4,185,22,0,86,3185,1
2017-02-01,9083,20,513,15,0,495,298,1753,16,5,0,24,5,103,4,146,14,50,0,6,59,1,443,1,1025,52,419,15,4,189,24,0,89,3294,1
2017-03-01,9140,20,526,15,0,480,307,1775,16,6,0,23,5,99,8,151,14,51,0,6,58,1,442,1,1016,48,445,16,4,203,22,0,91,3290,1
2017-04-01,9085,19,525,15,0,480,325,1663,16,6,0,23,5,99,12,149,14,51,0,6,57,1,447,1,1040,47,442,17,4,204,22,0,91,3301,1
2017-05-01,9168,19,508,15,0,478,343,1682,16,6,0,22,5,100,5,144,14,50,0,6,58,1,462,1,1029,51,426,16,3,202,24,0,95,3388,1
2017-06-01,9074,19,463,14,0,475,328,1631,16,5,0,23,5,101,7,141,14,47,0,6,58,1,444,1,1023,50,442,16,4,202,25,0,97,3415,1
2017-07-01,9230,18,423,15,0,482,352,1757,16,6,0,22,5,96,4,140,15,47,0,4,57,1,447,1,1039,51,443,20,4,205,25,0,94,3442,1
2017-08-01,9244,18,451,14,0,482,377,1717,16,5,0,23,5,99,11,141,15,48,0,6,57,1,458,1,1079,53,467,19,4,208,27,0,97,3345,1
2017-09-01,9495,18,482,14,0,469,399,1693,15,4,0,23,5,95,7,139,15,49,0,6,56,1,497,1,1096,56,469,19,4,215,26,0,97,3525,1
2017-10-01,9703,18,507,14,0,469,409,1477,15,5,0,22,5,97,0,135,15,47,0,6,55,1,519,1,1184,54,497,22,4,221,30,0,97,3776,1
2017-11-01,10103,18,510,14,0,468,421,1689,15,5,0,23,5,99,8,142,15,48,0,6,55,1,522,1,1197,57,501,21,4,226,32,0,97,3903,1
2017-12-01,10040,17,512,14,0,461,436,1576,13,5,0,23,5,92,10,138,15,46,0,6,54,1,537,1,1183,53,504,20,3,225,31,0,94,3963,1
2018-01-01,9995,16,508,14,0,463,436,1631,14,5,0,19,4,93,2,122,15,45,0,5,56,1,541,1,1158,50,530,17,4,222,28,0,100,3894,1
2018-02-01,10248,17,513,14,0,463,428,1704,14,5,0,22,5,96,4,131,15,48,0,5,56,1,586,1,1151,54,527,18,4,223,27,0,100,4015,1
2018-03-01,10461,17,512,14,0,462,428,1681,16,5,0,23,5,97,12,131,14,47,0,6,53,1,623,1,1145,54,543,18,4,231,29,0,104,4185,1
2018-04-01,10475,17,497,14,0,465,447,1583,16,5,0,22,4,97,4,128,13,47,0,5,54,1,650,1,1211,54,531,19,4,232,29,0,103,4222,1
2018-05-01,10443,16,496,14,0,464,447,1504,15,5,0,24,5,97,7,130,14,48,0,5,54,1,652,1,1236,58,529,19,3,228,29,0,97,4245,1
2018-06-01,10674,16,451,14,0,462,423,1658,15,5,0,23,5,96,9,129,15,47,0,5,52,1,657,1,1220,65,526,18,4,226,30,0,94,4410,1
