Age,Income,Family,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
30,115,4,2,0,0,0,1,0
35,188,2,2,259,0,0,1,0
63,178,4,3,0,0,0,0,0
33,131,3,3,0,1,0,0,0
32,129,4,2,0,0,0,0,1
42,158,2,2,277,0,0,0,1
62,142,2,3,0,0,0,0,1
42,139,2,3,0,0,0,1,0
64,179,2,3,400,0,0,0,0
61,188,1,2,0,0,0,0,0
29,123,3,3,428,0,0,1,0
32,119,4,3,0,0,0,1,0
37,123,4,2,253,0,1,1,1
43,123,3,1,0,0,0,1,0
39,93,4,3,0,0,0,1,0
38,182,3,3,0,0,1,1,1
59,85,1,3,0,0,1,0,1
47,95,2,2,0,0,0,0,0
62,93,3,3,0,0,1,1,1
61,154,3,3,351,0,1,1,1
53,173,4,1,427,0,0,1,0
58,191,4,3,194,0,0,0,1
51,175,3,1,312,0,0,0,0
27,142,3,1,0,0,0,0,0
34,180,2,3,0,0,1,1,0
60,155,1,3,0,0,0,0,1
52,179,4,3,0,0,0,0,0
49,138,2,2,0,0,0,1,0
53,141,2,3,0,0,0,0,0
59,180,2,2,0,1,1,1,1
44,123,3,1,0,0,1,1,1
51,163,2,3,0,0,0,1,0
54,108,4,2,0,0,0,1,0
63,135,2,3,183,0,0,0,0
48,144,4,2,0,0,0,0,0
60,139,4,1,0,0,0,1,0
41,143,2,3,209,0,0,1,0
42,154,3,1,0,0,1,1,1
29,91,1,3,0,0,0,0,0
40,89,3,2,216,1,1,1,0
60,173,3,3,0,0,0,1,0
52,155,3,2,0,0,0,1,0
52,158,2,3,251,0,0,0,1
52,194,2,2,0,0,0,1,0
26,195,3,3,0,1,1,1,0
63,191,2,3,205,0,0,0,0
49,130,4,1,281,0,1,1,0
52,85,3,3,0,0,0,0,0
45,128,4,3,0,0,0,1,0
44,132,3,1,308,0,0,0,0
34,188,1,3,0,0,0,1,0
65,170,4,2,0,0,1,1,1
64,143,2,3,0,1,1,1,0
26,182,2,2,0,0,0,0,0
26,184,2,3,577,0,1,1,1
40,140,3,1,0,0,0,0,0
39,141,4,1,0,1,1,1,1
33,145,1,3,0,0,0,1,0
64,181,2,2,0,0,1,1,1
33,178,3,1,0,1,1,1,0
59,145,4,1,198,0,0,1,0
57,164,2,3,422,0,1,1,1
26,164,2,3,301,0,0,1,0
33,104,2,3,0,0,0,0,1
44,111,2,2,0,0,0,1,0
55,145,2,3,0,0,0,1,0
29,182,1,3,0,0,0,1,0
48,133,2,2,0,0,0,1,0
33,120,2,3,76,0,0,0,1
53,115,2,3,0,0,0,0,0
52,83,1,1,0,0,0,1,0
35,180,1,3,571,0,1,1,1
58,151,3,2,0,0,0,0,0
54,133,1,2,0,0,0,0,1
32,81,2,2,0,0,0,0,1
45,102,4,2,81,0,0,0,0
27,134,1,2,307,0,0,1,0
27,130,3,2,0,0,0,0,0
32,142,4,2,120,0,1,1,1
65,143,4,2,0,0,0,1,0
38,184,3,1,0,0,0,1,0
33,188,2,2,581,0,0,0,0
48,162,3,1,400,0,0,0,0
35,108,2,3,0,1,0,0,0
61,141,3,1,0,0,1,1,1
32,140,4,3,0,0,1,0,1
51,173,1,2,0,0,0,1,0
35,101,3,3,150,0,0,1,0
36,123,2,3,0,0,0,0,0
29,184,4,3,612,0,0,1,0
46,115,2,3,0,1,1,1,1
49,174,3,2,590,0,0,0,0
35,135,3,2,0,0,0,1,0
34,165,1,3,541,0,0,0,0
50,133,4,2,342,0,0,0,1
44,142,1,3,0,0,0,0,0
38,129,3,3,0,0,1,1,1
43,121,1,2,0,0,1,1,1
28,112,2,2,0,0,0,1,0
46,122,3,3,0,0,1,1,1
29,135,3,1,0,0,1,1,1
